name,team,position,age,fantasycalcId,sleeperId,mflId,value,overallRank,positionRank,trend30day
Tyson Bagent,CHI,QB,23.26931072415652,11408,11256,16384,61,350,61,61
Matt Corral,NE,QB,24.62273538543252,1010,8164,15691,61,351,62,-28
Rakim Jarrett,TB,WR,22.639173737633183,9860,9495,16198,59,352,129,24
Malik Cunningham,NE,QB,24.943283326674276,9837,10860,16157,57,353,63,-274
Cameron Latu,SF,TE,23.55698196061644,9888,10210,16217,57,354,51,-37
Zack Kuntz,NYJ,TE,24.27752990826357,9872,9483,16249,53,355,52,-10
DeeJay Dallas,SEA,RB,24.99807785052004,5634,6931,14815,52,356,100,43
Brock Wright,DET,TE,24.800817577023086,2766,7891,15626,52,357,53,34
Justin Shorter,BUF,WR,23.411776480498478,9852,9489,16210,51,358,130,-80
Raheem Blackshear,CAR,RB,24.280269628646625,4345,8255,15973,51,359,101,-29
Zonovan Knight,DET,RB,22.428214834221208,3732,8122,15727,49,360,102,-228
Foster Moreau,NO,TE,26.362461412671234,8342,5985,14239,48,361,54,-161
Malik Davis,DAL,RB,24.803557299879504,1310,8800,15738,47,362,103,-228
Emari Demercado,ARI,RB,24.652872370972858,11170,11199,16385,46,363,104,46
Isaiah McKenzie,IND,WR,28.43917374086758,1826,4197,13313,46,364,131,-60
Jonnu Smith,ATL,TE,28.069310724727295,4185,4144,13193,45,365,55,45
Justin Watson,KC,WR,27.450132639713342,8639,5374,13776,43,366,132,43
Chris Brooks,MIA,RB,23.677529908326992,11653,11370,16387,42,367,105,42
Kalif Raymond,DET,WR,29.107666894564943,5803,3634,13066,41,368,133,1
D'Ernest Johnson,JAX,RB,27.551502508783614,4714,6694,14331,40,369,106,-44
KaVontae Turpin,DAL,WR,27.121365522355404,4302,8917,15981,38,370,134,38
Ronnie Bell,SF,WR,23.630954563641552,9890,10221,16202,35,371,135,35
Tyrod Taylor,NYG,QB,34.12410524860477,4418,827,10413,35,372,64,35
Sterling Shepard,NYG,WR,30.598077847888128,6747,3200,12658,34,373,136,-39
Cooper Rush,DAL,QB,29.81999566168823,157,4574,13124,33,374,65,-43
Jauan Jennings,SF,WR,26.184379223427193,2631,7049,14860,32,375,137,-24
C.J. Uzomah,NYJ,TE,30.672050449961947,3111,2460,12317,31,376,56,31
Deneric Prince,KC,RB,23.428214837645864,11024,10870,16380,26,377,107,-452
Randall Cobb,NYJ,WR,33.07205045408422,651,928,10308,26,378,138,-17
Harrison Bryant,CLE,TE,25.39807784788813,1857,6850,14875,26,379,57,26
Jeremy Ruckert,NYJ,TE,23.0939682623034,4210,8145,15796,23,380,58,23
DeAndre Carter,LV,WR,30.43643401560122,790,2750,12394,22,381,139,22
Kenny Golladay,null,WR,29.869310728025113,8164,4131,13277,21,382,140,21
Blaine Gabbert,KC,QB,33.92410524454591,6772,862,10262,19,383,66,19
Julius Chestnut,TEN,RB,22.885749084157787,7607,8254,15965,19,384,108,10
Jamal Agnew,JAX,WR,28.45561209471715,997,4198,13308,18,385,141,-3
Elijah Higgins,ARI,TE,22.883009354452057,9825,10231,16333,18,386,59,-34
Kene Nwangwu,MIN,RB,25.598077850932267,8160,7720,15414,18,387,109,-80
Tim Patrick,DEN,WR,29.81451620741375,4730,4351,13377,18,388,142,-117
Marquise Goodwin,CLE,WR,32.82821483764587,1017,1346,11239,15,389,143,15
Jake Browning,CIN,QB,27.430954565829527,438,6111,14358,13,390,67,13
Brevin Jordan,HOU,TE,23.16520113869863,6946,7568,15330,13,391,60,-28
Russell Gage,TB,WR,27.650132645801623,5409,5110,13809,13,392,144,-113
Tyrion Davis-Price,SF,RB,22.8939682623034,4198,8211,15746,11,393,110,-98
Danny Gray,SF,WR,24.45835181979325,5462,8176,15782,10,394,145,-24
Max Duggan,LAC,QB,22.510406620719177,9898,10233,16155,8,395,68,8
Bryce Ford-Wheaton,NYG,WR,23.51862579261796,9849,9499,16379,7,396,146,-19
J.D. McKissic,null,RB,30.088488812404872,2222,3664,13108,3,397,111,3
